,modelo,mean_train_score,std_train_score,mean_test_score,std_test_score,param,param_dados__op
3,Gradient Boosted,-571.2502237038275,15.37856459854145,-637.8005029191411,92.48986290735604,6,2
1,Decision Tree,-627.2138361835007,15.587558412621487,-642.7932075059173,70.39956369317788,1,2
4,SVR,-653.163923876423,17.184905282740385,-654.3583577451432,73.44884571382879,sigmoid,1
0,Linear Regression,-646.9369178132157,18.545180007963207,-668.6629509366192,84.63534013025561,,1
2,Random Forest,-138.96286661113498,18.452674412456634,-701.4968010217583,88.46648930758965,16,2
