,mean_train_score,std_train_score,mean_test_score,std_test_score,param_dados__op,modelo
0,-646.9369178132157,18.545180007963207,-668.6629509366192,84.63534013025561,1,Linear Regression
1,-598.1894880705771,16.957975278623348,-181080194199722.5,362160388397985.06,2,Linear Regression
