,mean_train_score,std_train_score,mean_test_score,std_test_score,param_dados__op,param,modelo
0,-639.5250092422607,20.75682738815695,-715.2016812633003,118.88509525074325,1,1,Decision Tree
1,-610.1644129134418,23.91639960054748,-765.3751204553739,109.34392094579627,1,6,Decision Tree
2,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,11,Decision Tree
3,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,16,Decision Tree
4,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,21,Decision Tree
5,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,26,Decision Tree
6,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,31,Decision Tree
7,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,36,Decision Tree
8,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,41,Decision Tree
9,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,46,Decision Tree
10,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,51,Decision Tree
11,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,56,Decision Tree
12,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,61,Decision Tree
13,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,66,Decision Tree
14,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,71,Decision Tree
15,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,76,Decision Tree
16,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,81,Decision Tree
17,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,86,Decision Tree
18,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,91,Decision Tree
19,-608.6322541198198,24.025549509210794,-760.9111450083374,108.11830684656475,1,96,Decision Tree
20,-627.2138361835007,15.587558412621487,-642.7932075059173,70.39956369317788,2,1,Decision Tree
21,-361.65085719921495,48.08826966545927,-737.2183559227726,104.71709827292797,2,6,Decision Tree
22,-109.62716225955266,59.20177534266466,-818.501817121729,94.21916351038406,2,11,Decision Tree
23,-22.526613098030523,41.9175583378454,-831.0079368193462,83.54949190763666,2,16,Decision Tree
24,-0.5925015538260697,1.1850031076521395,-845.9653412102131,80.73962285831891,2,21,Decision Tree
25,0.0,0.0,-832.1857513280969,95.1262743229949,2,26,Decision Tree
26,0.0,0.0,-844.8207336814592,86.0644560635963,2,31,Decision Tree
27,0.0,0.0,-861.7187787909622,111.87032084360656,2,36,Decision Tree
28,0.0,0.0,-817.8288019955443,64.9343173082793,2,41,Decision Tree
29,0.0,0.0,-843.5569620265976,80.00031866550196,2,46,Decision Tree
30,0.0,0.0,-856.159777523398,102.90202244103277,2,51,Decision Tree
31,0.0,0.0,-849.9343422443902,92.65115369079165,2,56,Decision Tree
32,0.0,0.0,-848.0555481175503,100.06151097820157,2,61,Decision Tree
33,0.0,0.0,-826.7965505701198,78.86993904431127,2,66,Decision Tree
34,0.0,0.0,-840.5249116207287,77.63905687497031,2,71,Decision Tree
35,0.0,0.0,-834.0843538225115,95.60909913347172,2,76,Decision Tree
36,0.0,0.0,-830.6645077367739,98.58693356748886,2,81,Decision Tree
37,0.0,0.0,-849.2785282798147,94.46363365533651,2,86,Decision Tree
38,0.0,0.0,-858.4600889175342,95.2128180181226,2,91,Decision Tree
39,0.0,0.0,-814.2576385706527,66.49461417281448,2,96,Decision Tree
