,mean_train_score,std_train_score,mean_test_score,std_test_score,param_dados__op,param,modelo
0,-652.8659246043468,17.343694560094967,-654.8160429123624,73.9352248817247,1,linear,SVR
1,-646.8666696255871,17.523481232426292,-678.1439318862365,92.49996877086332,1,poly,SVR
2,-651.9359989780942,17.461361898173838,-658.0285368487362,73.88099108588975,1,rbf,SVR
3,-653.163923876423,17.184905282740385,-654.3583577451432,73.44884571382879,1,sigmoid,SVR
4,-649.1367121017386,17.380366002708083,-654.4564200463135,74.26335613297759,2,linear,SVR
5,-604.892080648232,18.405203772291816,-667.3543391097515,77.28147695035025,2,poly,SVR
6,-651.6021917921387,17.364349643471815,-654.7123258231269,73.44152126042701,2,rbf,SVR
7,-653.0748391780493,17.26782601512649,-654.6208425499694,73.83041931221798,2,sigmoid,SVR
